"Rank"	"Rider"	"Rider.No."	"Team"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
1	"J. VINGEGAARD"	11	"TEAM VISMA | LEASE A BIKE"	"00h 21' 47''"	"-"	"-"	"-"	"stage-1"	0	21	47	1307	21M 47S
2	"F. GANNA"	84	"NETCOMPANY INEOS CYCLING TEAM"	"00h 21' 55''"	"+ 00h 00' 08''"	"-"	"-"	"stage-1"	0	21	55	1315	21M 55S
3	"T. POGACAR"	1	"UAE TEAM EMIRATES XRG"	"00h 21' 59''"	"+ 00h 00' 12''"	"-"	"-"	"stage-1"	0	21	59	1319	21M 59S
4	"J. AYUSO"	31	"LIDL-TREK"	"00h 22' 03''"	"+ 00h 00' 16''"	"-"	"-"	"stage-1"	0	22	3	1323	22M 3S
5	"R. EVENEPOEL"	21	"RED BULL - BORA - HANSGROHE"	"00h 22' 06''"	"+ 00h 00' 19''"	"-"	"-"	"stage-1"	0	22	6	1326	22M 6S
6	"I. DEL TORO"	2	"UAE TEAM EMIRATES XRG"	"00h 22' 13''"	"+ 00h 00' 26''"	"-"	"-"	"stage-1"	0	22	13	1333	22M 13S
7	"D. PIGANZOLI"	18	"TEAM VISMA | LEASE A BIKE"	"00h 22' 15''"	"+ 00h 00' 28''"	"-"	"-"	"stage-1"	0	22	15	1335	22M 15S
8	"F. LIPOWITZ"	25	"RED BULL - BORA - HANSGROHE"	"00h 22' 22''"	"+ 00h 00' 35''"	"-"	"-"	"stage-1"	0	22	22	1342	22M 22S
9	"T. FOSS"	83	"NETCOMPANY INEOS CYCLING TEAM"	"00h 22' 25''"	"+ 00h 00' 38''"	"-"	"-"	"stage-1"	0	22	25	1345	22M 25S
10	"P. SEIXAS"	51	"DECATHLON CMA CGM TEAM"	"00h 22' 26''"	"+ 00h 00' 39''"	"-"	"-"	"stage-1"	0	22	26	1346	22M 26S
11	"M. VAN DER POEL"	101	"ALPECIN-PREMIER TECH"	"00h 22' 26''"	"+ 00h 00' 39''"	"-"	"-"	"stage-1"	0	22	26	1346	22M 26S
12	"R. GREGOIRE"	181	"GROUPAMA-FDJ UNITED"	"00h 22' 28''"	"+ 00h 00' 41''"	"-"	"-"	"stage-1"	0	22	28	1348	22M 28S
13	"A. TIBERI"	77	"BAHRAIN VICTORIOUS"	"00h 22' 34''"	"+ 00h 00' 47''"	"-"	"-"	"stage-1"	0	22	34	1354	22M 34S
14	"M. RICCITELLO"	58	"DECATHLON CMA CGM TEAM"	"00h 22' 37''"	"+ 00h 00' 50''"	"-"	"-"	"stage-1"	0	22	37	1357	22M 37S
15	"L. MARTINEZ"	71	"BAHRAIN VICTORIOUS"	"00h 22' 37''"	"+ 00h 00' 50''"	"-"	"-"	"stage-1"	0	22	37	1357	22M 37S
16	"M. MATTHEWS"	115	"TEAM JAYCO ALULA"	"00h 22' 38''"	"+ 00h 00' 51''"	"-"	"-"	"stage-1"	0	22	38	1358	22M 38S
