"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rank"	"Rider.No."	"Team.y"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
"A. BAUDIN"	"Alain"	"The Eight Musketeers"	"Alex Baudin"	1	17	43	"EF EDUCATION - EASYPOST"	"00h 22' 44''"	"+ 00h 00' 57''"	"-"	"-"	"stage-1"	0	22	44	1364	22M 44S
"A. BAUDIN"	"Alain"	"The Eight Musketeers"	"Alex Baudin"	1	15	43	"EF EDUCATION - EASYPOST"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"A. BAUDIN"	"Ashley"	"Le Grand Fromage"	"Alex Baudin"	1	17	43	"EF EDUCATION - EASYPOST"	"00h 22' 44''"	"+ 00h 00' 57''"	"-"	"-"	"stage-1"	0	22	44	1364	22M 44S
"A. BAUDIN"	"Ashley"	"Le Grand Fromage"	"Alex Baudin"	1	15	43	"EF EDUCATION - EASYPOST"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"A. BAUDIN"	"Jacques"	"Team Spanky"	"Alex Baudin"	1	17	43	"EF EDUCATION - EASYPOST"	"00h 22' 44''"	"+ 00h 00' 57''"	"-"	"-"	"stage-1"	0	22	44	1364	22M 44S
"A. BAUDIN"	"Jacques"	"Team Spanky"	"Alex Baudin"	1	15	43	"EF EDUCATION - EASYPOST"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"A. TIBERI"	"Pete"	"The Clean Team"	"Antonio Tiberi"	1	46	77	"BAHRAIN VICTORIOUS"	"03h 45' 45''"	"+ 00h 05' 44''"	"-"	"-"	"stage-2"	3	45	45	13545	3H 45M 45S
"A. TIBERI"	"Pete"	"The Clean Team"	"Antonio Tiberi"	1	13	77	"BAHRAIN VICTORIOUS"	"00h 22' 34''"	"+ 00h 00' 47''"	"-"	"-"	"stage-1"	0	22	34	1354	22M 34S
"A. TIBERI"	"Ian"	"Shed Brewery"	"Antonio Tiberi"	1	46	77	"BAHRAIN VICTORIOUS"	"03h 45' 45''"	"+ 00h 05' 44''"	"-"	"-"	"stage-2"	3	45	45	13545	3H 45M 45S
"A. TIBERI"	"Ian"	"Shed Brewery"	"Antonio Tiberi"	1	13	77	"BAHRAIN VICTORIOUS"	"00h 22' 34''"	"+ 00h 00' 47''"	"-"	"-"	"stage-1"	0	22	34	1354	22M 34S
