"Rank"	"Rider"	"Rider.No."	"Team"	"Points"	"P"	"Stage_no"
1	"I. DEL TORO"	2	"UAE TEAM EMIRATES XRG"	30	"-"	"stage-2"
2	"A. MOLENAAR"	224	"CAJA RURAL-SEGUROS RGA"	25	"-"	"stage-2"
3	"T. POGACAR"	1	"UAE TEAM EMIRATES XRG"	25	"-"	"stage-2"
4	"R. EVENEPOEL"	21	"RED BULL - BORA - HANSGROHE"	22	"-"	"stage-2"
5	"F. ENGELHARDT"	114	"TEAM JAYCO ALULA"	20	"-"	"stage-2"
6	"J. VINGEGAARD"	11	"TEAM VISMA | LEASE A BIKE"	19	"-"	"stage-2"
7	"M. SKJELMOSE"	35	"LIDL-TREK"	17	"-"	"stage-2"
8	"F. VAN DEN BROEK"	218	"TEAM PICNIC POSTNL"	16	"-"	"stage-2"
9	"T. JOHANNESSEN"	121	"UNO-X MOBILITY"	15	"-"	"stage-2"
10	"B. GIRMAY"	131	"NSN CYCLING TEAM"	14	"-"	"stage-2"
11	"R. GREGOIRE"	181	"GROUPAMA-FDJ UNITED"	13	"-"	"stage-2"
12	"M. PEDERSEN"	33	"LIDL-TREK"	12	"-"	"stage-2"
13	"L. MARTINEZ"	71	"BAHRAIN VICTORIOUS"	11	"-"	"stage-2"
14	"J. PHILIPSEN"	105	"ALPECIN-PREMIER TECH"	10	"-"	"stage-2"
15	"P. SEIXAS"	51	"DECATHLON CMA CGM TEAM"	9	"-"	"stage-2"
16	"A. TURGIS"	207	"TOTALENERGIES"	9	"-"	"stage-2"
17	"T. MERLIER"	91	"SOUDAL QUICK-STEP"	8	"-"	"stage-2"
18	"T. PIDCOCK"	171	"PINARELLO-Q36.5 PRO CYCLING TEAM"	7	"-"	"stage-2"
19	"M. KANTER"	64	"XDS ASTANA TEAM"	7	"-"	"stage-2"
20	"L. VAN EETVELT"	156	"LOTTO INTERMARCHE"	6	"-"	"stage-2"
21	"M. MATTHEWS"	115	"TEAM JAYCO ALULA"	6	"-"	"stage-2"
22	"J. AYUSO"	31	"LIDL-TREK"	5	"-"	"stage-2"
23	"S. WAERENSKJOLD"	128	"UNO-X MOBILITY"	5	"-"	"stage-2"
24	"I. VAN WILDER"	97	"SOUDAL QUICK-STEP"	4	"-"	"stage-2"
25	"D. BALLERINI"	62	"XDS ASTANA TEAM"	4	"-"	"stage-2"
26	"R. CARAPAZ"	41	"EF EDUCATION - EASYPOST"	3	"-"	"stage-2"
27	"F. VERMEERSCH"	6	"UAE TEAM EMIRATES XRG"	3	"-"	"stage-2"
28	"A. BAUDIN"	43	"EF EDUCATION - EASYPOST"	2	"-"	"stage-2"
29	"J. STUYVEN"	94	"SOUDAL QUICK-STEP"	2	"-"	"stage-2"
30	"T. WELLENS"	7	"UAE TEAM EMIRATES XRG"	1	"-"	"stage-2"
