"Rider_1"	"Name"	"Team.x"	"Rider"	"Value"	"Rank"	"Rider.No."	"Team.y"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
"A. BAUDIN"	"Alain"	"The Eight Musketeers"	"Alex Baudin"	1	15	43	"EF EDUCATION - EASYPOST"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"A. BAUDIN"	"Ashley"	"Le Grand Fromage"	"Alex Baudin"	1	15	43	"EF EDUCATION - EASYPOST"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"A. BAUDIN"	"Jacques"	"Team Spanky"	"Alex Baudin"	1	15	43	"EF EDUCATION - EASYPOST"	"03h 40' 11''"	"+ 00h 00' 10''"	"-"	"-"	"stage-2"	3	40	11	13211	3H 40M 11S
"A. TIBERI"	"Pete"	"The Clean Team"	"Antonio Tiberi"	1	46	77	"BAHRAIN VICTORIOUS"	"03h 45' 45''"	"+ 00h 05' 44''"	"-"	"-"	"stage-2"	3	45	45	13545	3H 45M 45S
"A. TIBERI"	"Ian"	"Shed Brewery"	"Antonio Tiberi"	1	46	77	"BAHRAIN VICTORIOUS"	"03h 45' 45''"	"+ 00h 05' 44''"	"-"	"-"	"stage-2"	3	45	45	13545	3H 45M 45S
"A. TIBERI"	"Judy"	"Barcelona Breakaway"	"Antonio Tiberi"	1	46	77	"BAHRAIN VICTORIOUS"	"03h 45' 45''"	"+ 00h 05' 44''"	"-"	"-"	"stage-2"	3	45	45	13545	3H 45M 45S
"A. YATES"	"Matthew"	"Last Minute Lemmings"	"Adam Yates"	1	18	8	"UAE TEAM EMIRATES XRG"	"03h 40' 40''"	"+ 00h 00' 39''"	"-"	"-"	"stage-2"	3	40	40	13240	3H 40M 40S
"A. YATES"	"Ian"	"Shed Brewery"	"Adam Yates"	1	18	8	"UAE TEAM EMIRATES XRG"	"03h 40' 40''"	"+ 00h 00' 39''"	"-"	"-"	"stage-2"	3	40	40	13240	3H 40M 40S
"A. YATES"	"Janet"	"No Idea"	"Adam Yates"	1	18	8	"UAE TEAM EMIRATES XRG"	"03h 40' 40''"	"+ 00h 00' 39''"	"-"	"-"	"stage-2"	3	40	40	13240	3H 40M 40S
"A. YATES"	"Conor"	"iPaddy Rides Again"	"Adam Yates"	1	18	8	"UAE TEAM EMIRATES XRG"	"03h 40' 40''"	"+ 00h 00' 39''"	"-"	"-"	"stage-2"	3	40	40	13240	3H 40M 40S
"A. YATES"	"Judy"	"Barcelona Breakaway"	"Adam Yates"	1	18	8	"UAE TEAM EMIRATES XRG"	"03h 40' 40''"	"+ 00h 00' 39''"	"-"	"-"	"stage-2"	3	40	40	13240	3H 40M 40S
"B. GIRMAY"	"Chris & Jill"	"Mystery Package"	"Biniam Girmay "	1	157	131	"NSN CYCLING TEAM"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
"B. GIRMAY"	"Dirk"	"Tintin en Velo"	"Biniam Girmay "	1	157	131	"NSN CYCLING TEAM"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
"B. GIRMAY"	"Mary"	"The Lion Kings"	"Biniam Girmay "	1	157	131	"NSN CYCLING TEAM"	"03h 53' 57''"	"+ 00h 13' 56''"	"-"	"-"	"stage-2"	3	53	57	14037	3H 53M 57S
"B. HEALY"	"Jonathan"	"Pedal Dammit"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"James"	"Škoda Drivers"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"Matthew"	"Last Minute Lemmings"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
"B. HEALY"	"Pete"	"The Clean Team"	"Ben Healy"	1	107	44	"EF EDUCATION - EASYPOST"	"03h 52' 17''"	"+ 00h 12' 16''"	"-"	"-"	"stage-2"	3	52	17	13937	3H 52M 17S
