"Rider"	"Rider.No."	"Team"	"Points"	"Stage_no"
"T. POGACAR"	1	"UAE TEAM EMIRATES XRG"	30	"stage-3"
"J. VINGEGAARD"	11	"TEAM VISMA | LEASE A BIKE"	25	"stage-3"
"I. DEL TORO"	2	"UAE TEAM EMIRATES XRG"	9	"stage-3"
"M. PEDERSEN"	33	"LIDL-TREK"	25	"stage-3"
"R. EVENEPOEL"	21	"RED BULL - BORA - HANSGROHE"	11	"stage-3"
"T. JOHANNESSEN"	121	"UNO-X MOBILITY"	17	"stage-3"
"P. SEIXAS"	51	"DECATHLON CMA CGM TEAM"	19	"stage-3"
"A. MOLENAAR"	224	"CAJA RURAL-SEGUROS RGA"	0	"stage-3"
"R. CARAPAZ"	41	"EF EDUCATION - EASYPOST"	22	"stage-3"
"M. SKJELMOSE"	35	"LIDL-TREK"	6	"stage-3"
"L. VAN EETVELT"	156	"LOTTO INTERMARCHE"	15	"stage-3"
"J. DELBOVE"	203	"TOTALENERGIES"	20	"stage-3"
"F. ENGELHARDT"	114	"TEAM JAYCO ALULA"	0	"stage-3"
"A. BAUDIN"	43	"EF EDUCATION - EASYPOST"	16	"stage-3"
"F. VAN DEN BROEK"	218	"TEAM PICNIC POSTNL"	0	"stage-3"
"L. MARTINEZ"	71	"BAHRAIN VICTORIOUS"	4	"stage-3"
"M. STORER"	196	"TUDOR PRO CYCLING TEAM"	14	"stage-3"
"B. GIRMAY"	131	"NSN CYCLING TEAM"	0	"stage-3"
"F. LIPOWITZ"	25	"RED BULL - BORA - HANSGROHE"	13	"stage-3"
"R. GREGOIRE"	181	"GROUPAMA-FDJ UNITED"	0	"stage-3"
"J. AYUSO"	31	"LIDL-TREK"	7	"stage-3"
"M. VERCHER"	208	"TOTALENERGIES"	12	"stage-3"
"H. TEJADA"	65	"XDS ASTANA TEAM"	10	"stage-3"
"J. PHILIPSEN"	105	"ALPECIN-PREMIER TECH"	0	"stage-3"
"I. VAN WILDER"	97	"SOUDAL QUICK-STEP"	5	"stage-3"
"L. PLAPP"	117	"TEAM JAYCO ALULA"	9	"stage-3"
"A. TURGIS"	207	"TOTALENERGIES"	0	"stage-3"
"M. CORT NIELSEN"	124	"UNO-X MOBILITY"	8	"stage-3"
"T. MERLIER"	91	"SOUDAL QUICK-STEP"	0	"stage-3"
"T. PIDCOCK"	171	"PINARELLO-Q36.5 PRO CYCLING TEAM"	0	"stage-3"
"N. OLIVEIRA"	146	"MOVISTAR TEAM"	7	"stage-3"
"M. KANTER"	64	"XDS ASTANA TEAM"	0	"stage-3"
"A. BALDERSTONE"	222	"CAJA RURAL-SEGUROS RGA"	6	"stage-3"
"M. MATTHEWS"	115	"TEAM JAYCO ALULA"	0	"stage-3"
"M. SCHMID"	118	"TEAM JAYCO ALULA"	5	"stage-3"
"S. WAERENSKJOLD"	128	"UNO-X MOBILITY"	0	"stage-3"
"V. VAN MECHELEN"	78	"BAHRAIN VICTORIOUS"	4	"stage-3"
"D. BALLERINI"	62	"XDS ASTANA TEAM"	0	"stage-3"
"J. JEGAT"	201	"TOTALENERGIES"	3	"stage-3"
"C. BRAZ AFONSO"	183	"GROUPAMA-FDJ UNITED"	3	"stage-3"
"F. VERMEERSCH"	6	"UAE TEAM EMIRATES XRG"	0	"stage-3"
"S. HIGUITA"	61	"XDS ASTANA TEAM"	2	"stage-3"
"N. PRODHOMME"	57	"DECATHLON CMA CGM TEAM"	2	"stage-3"
"J. STUYVEN"	94	"SOUDAL QUICK-STEP"	0	"stage-3"
