Stage	Type	Date	Start.and.Finish	Distance	Details
1		7/4/26	BARCELONE > BARCELONE	19.6 KM	stage-1
2		7/5/26	TARRAGONE > BARCELONE	168.5 KM	stage-2
3		7/6/26	GRANOLLERS > LES ANGLES	195.9 KM	stage-3
4		7/7/26	CARCASSONNE > FOIX	181.9 KM	stage-4
5		7/8/26	LANNEMEZAN > PAU	158.3 KM	stage-5
6		7/9/26	PAU > GAVARNIE-GÈDRE	186.2 KM	stage-6
7		7/10/26	HAGETMAU > BORDEAUX	175.1 KM	stage-7
8		7/11/26	PÉRIGUEUX > BERGERAC	180.4 KM	stage-8
9		7/12/26	MALEMORT > USSEL	185.5 KM	stage-9
	Rest Day	7/13/26			Rest 1
10		7/14/26	AURILLAC > LE LIORAN	166.6 KM	stage-10
11		7/15/26	VICHY > NEVERS	161.3 KM	stage-11
12		7/16/26	CIRCUIT NEVERS MAGNY-COURS > CHALON-SUR-SAÔNE	179.1 KM	stage-12
13		7/17/26	DOLE > BELFORT	205.8 KM	stage-13
14		7/18/26	MULHOUSE > LE MARKSTEIN FELLERING	155.3 KM	stage-14
15		7/19/26	CHAMPAGNOLE > PLATEAU DE SOLAISON	183.9 KM	stage-15
	Rest Day	7/20/26			Rest 2
16		7/21/26	ÉVIAN-LES-BAINS > THONON-LES-BAINS	26.1 KM	stage-16
17		7/22/26	CHAMBERY > VOIRON	174.7 KM	stage-17
18		7/23/26	VOIRON > ORCIÈRES-MERLETTE	185.2 KM	stage-18
19		7/24/26	GAP > ALPE D'HUEZ	127.9 KM	stage-19
20		7/25/26	LE BOURG D'OISANS > ALPE D'HUEZ	170.9 KM	stage-20
21		7/26/26	THOIRY > PARIS CHAMPS-ÉLYSÉES	133 KM	stage-21
